Thickness,FRT,CT,% TCM Reduc,Cold Spot,Control Heating Time,Soaking Time,SPM Elongation,% Carbon,% Mn,%SI,%NB,%TI,YS (Mpa),,,,
0.6,913.18,699.42,82.17,660,427,810,0.3,0.0027,0.07,0.005,0.001,0.07,178,,,,
0.65,885.31,572.54,77.4,670,428,943,0.8,0.035,0.18,0.007,0.001,0.001,175,,,,
1.8,890.71,563.13,68.33,670,427,1020,0.8,0.0399,0.1599,0.0049,0.001,0.001,160,,,,
0.8,898.84,568.39,72.37,670,427,881,0.8,0.045,0.17,0.006,0.001,0.001,165,,,,
0.65,901.42,565.08,77.4,670,428,930,0.8,0.04,0.18,0.007,0.001,0.001,155,,,,
0.65,901.96,565.54,77.4,670,427,1020,0.8,0.035,0.16,0.005,0.001,0.001,169,,,,
0.65,905.55,562.78,77.4,670,430,990,0.8,0.035,0.16,0.005,0.001,0.001,161,,,,
1.2,898.07,565.57,69.2,670,430,990,0.8,0.035,0.16,0.005,0.001,0.001,159,,,,
1.2,895.4,576.74,69.2,670,430,990,0.8,0.04,0.18,0.007,0.001,0.001,159,,,,
0.6,880.2,565.44,77.61,670,425,900,0.8,0.038,0.14,0.007,0.001,0.001,173,,,,
0.96,900.95,565.79,67,670,429,1009,0.8,0.035,0.16,0.011,0.001,0.001,164,,,,
1.2,904.21,579.65,69.2,670,426,1020,0.8,0.035,0.16,0.005,0.001,0.001,178,,,,
1.2,905.9,577.5,69.2,670,426,840,0.8,0.04,0.18,0.007,0.001,0.001,158,,,,
1.2,904.96,575.18,69.2,670,425,930,0.8,0.035,0.16,0.005,0.001,0.001,161,,,,
1.2,901.59,567.04,69.2,670,428,920,0.8,0.035,0.16,0.005,0.001,0.001,167,,,,
1.2,907.01,560.22,67.58,670,429,1047,0.8,0.035,0.16,0.011,0.001,0.001,165,,,,
0.6,883.19,565.65,77.61,670,425,1045,0.8,0.035,0.15,0.005,0.001,0.001,160,,,,
0.8,917.74,698.56,79.38,660,429,762,0.3,0.0025,0.07,0.008,0.001,0.07,153,,,,
0.7,923.74,701.68,81.88,660,369,837,0.3,0.0022,0.07,0.005,0.001,0.07,160,,,,
0.8,911.64,695.49,79.38,660,428,840,0.3,0.0025,0.1,0.006,0.006,0.051,158,,,,
0.8,919.24,704.9,79.38,660,429,832,0.3,0.0025,0.1,0.006,0.006,0.051,165,,,,
0.8,916.45,701.09,79.38,660,424,838,0.3,0.0025,0.1,0.006,0.006,0.051,177,,,,
0.75,908.61,699.75,80.63,660,426,871,0.3,0.002,0.06,0.004,0.001,0.065,175,,,,
0.7,913.87,698.96,81.88,660,428,750,0.3,0.002,0.06,0.006,0.001,0.067,178,,,,
0.8,918.36,700.57,79.38,660,428,814,0.3,0.0026,0.05,0.007,0.001,0.071,155,,,,
0.75,918.61,702.52,80.63,660,427,825,0.3,0.003,0.06,0.008,0.001,0.065,173,,,,
0.96,894.99,564.43,67,670,429,1050,0.8,0.04,0.18,0.019,0.001,0.001,169,,,,
0.7,914.55,696.83,81.88,670,428,891,0.4,0.0029,0.07,0.0089,0.001,0.067,161,,,,
0.7,910.3,699.75,81.88,655,424,910,0.3,0.0021,0.07,0.007,0.001,0.067,164,,,,
1.2,897.26,567.72,67.58,670,426,969,0.8,0.04,0.16,0.006,0.001,0.001,164,,,,
0.8,915.79,698.11,79.38,660,33,462,0.3,0.0029,0.06,0.008,0.001,0.066,162,,,,
0.7,891.34,564.93,72,670,425,932,0.8,0.05,0.16,0.005,0.001,0.001,158,,,,
0.7,910,697.66,81.88,660,426,852,0.3,0.003,0.08,0.0089,0.001,0.068,167,,,,
0.7,921.17,700.48,81.88,660,427,810,0.3,0.0025,0.07,0.007,0.001,0.063,166,,,,
0.7,920.46,700.13,81.88,660,425,815,0.3,0.002,0.05,0.005,0.001,0.065,159,,,,
0.8,925.16,699.6,79.38,660,427,834,0.3,0.0027,0.06,0.008,0.001,0.067,177,,,,
0.7,917.38,700.06,81.88,660,425,870,0.3,0.0023,0.06,0.008,0.001,0.07,155,,,,
0.7,918.82,697.98,81.88,660,427,855,0.3,0.0021,0.07,0.005,0.001,0.062,170,,,,
0.96,885.48,565.39,67,670,425,930,0.8,0.05,0.16,0.005,0.001,0.001,169,,,,
0.96,889.31,559.36,67,670,427,1049,0.8,0.05,0.15,0.005,0.001,0.001,170,,,,
0.7,904.94,696,81.88,660,364,930,0.3,0.002,0.06,0.005,0.001,0.064,163,,,,
1.2,915.41,699.9,72.76,660,427,865,0.3,0.0024,0.05,0.0089,0.001,0.067,160,,,,
0.9,901.08,569.02,69,670,427,1049,0.8,0.045,0.1599,0.003,0.001,0.001,159,,,,
1.4,871.11,561.48,71.32,670,426,923,0.8,0.03,0.16,0.005,0.001,0.001,159,,,,
1.4,870.9,566.55,71.32,670,430,850,0.8,0.035,0.16,0.006,0.001,0.001,168,,,,
1.4,888.35,564.31,71.32,670,426,923,0.8,0.045,0.16,0.007,0.001,0.001,166,,,,
1.4,911.16,568.6,70.13,670,428,900,0.8,0.045,0.1599,0.003,0.001,0.001,165,,,,
0.6,890.2,563.8,77.61,670,431,910,0.8,0.03,0.16,0.005,0.001,0.001,154,,,,
0.75,899.63,566.61,67.54,670,425,932,0.8,0.045,0.16,0.007,0.001,0.001,158,,,,
1.4,906.76,562.65,68.13,670,426,923,0.8,0.03,0.16,0.005,0.001,0.001,160,,,,
1.6,897.41,567.58,68.56,670,424,954,0.8,0.045,0.16,0.007,0.001,0.001,172,,,,
1.6,905.2,549.71,68.56,670,429,883,0.8,0.03,0.16,0.005,0.001,0.001,173,,,,
1.8,907.3,579.02,68.33,670,428,900,0.8,0.038,0.17,0.006,0.001,0.001,174,,,,
1.6,890.35,568.77,68.56,670,429,883,0.8,0.04,0.15,0.006,0.001,0.001,152,,,,
1.6,896.32,563.47,68.56,670,429,883,0.8,0.04,0.15,0.006,0.001,0.001,161,,,,
0.65,902.65,566.49,77.4,670,431,910,0.8,0.04,0.15,0.006,0.001,0.001,174,,,,
0.6,895.54,572.24,79.1,670,430,990,0.8,0.03,0.15,0.005,0.001,0.001,178,,,,
1.8,901.89,563.02,68.33,670,428,900,0.8,0.045,0.14,0.005,0.001,0.001,169,,,,
1.4,888.34,561.16,70.13,670,428,960,0.8,0.04,0.16,0.004,0.001,0.001,158,,,,
0.65,894.58,569.28,77.4,670,426,930,0.8,0.04,0.16,0.004,0.001,0.001,178,,,,
0.65,899.86,566.56,77.4,670,429,885,0.8,0.04,0.16,0.004,0.001,0.001,161,,,,
0.8,920.04,697.83,79.38,660,428,848,0.3,0.0026,0.08,0.008,0.001,0.06,160,,,,
