,Thickness,FRT,CT,% TCM Reduc,Cold Spot,Control Heating Time,Soaking Time,SPM Elongation,% Carbon,% Mn,%SI,%NB,%TI,YS (Mpa)
1092,0.65,906.38,565.09,75.79,670.0,424.0,871.0,0.8,0.04,0.18,0.011,0.001,0.001,152.0
1093,0.65,907.89,565.53,75.79,670.0,430.0,928.0,0.8,0.04,0.15,0.005,0.001,0.001,147.0
1094,0.8,916.39,704.37,79.38,660.0,365.0,720.0,0.3,0.002,0.06,0.007,0.001,0.062,147.0
1095,0.8,899.85,568.77,72.37,670.0,426.0,900.0,0.8,0.03,0.15,0.004,0.001,0.001,158.0
1096,1.4,902.54,568.4,70.13,670.0,425.0,899.0,0.8,0.037,0.13,0.004,0.001,0.001,153.0
1097,0.7,923.85,696.28,81.88,660.0,365.0,728.0,0.3,0.0021,0.05,0.0089,0.001,0.061,158.0
1098,0.65,917.14,701.9,80.71,660.0,427.0,750.0,0.3,0.0022,0.05,0.002,0.001,0.057,163.0
1099,0.65,917.44,701.35,80.71,660.0,365.0,728.0,0.3,0.0025,0.06,0.005,0.001,0.067,161.0
1100,0.65,915.13,698.84,80.71,660.0,427.0,750.0,0.3,0.0018,0.05,0.002,0.001,0.056,160.0
1101,0.65,888.36,569.88,75.79,670.0,428.0,933.0,0.8,0.035,0.16,0.004,0.001,0.001,154.0
1102,0.7,920.01,702.49,81.88,660.0,366.0,743.0,0.3,0.0021,0.08,0.005,0.001,0.064,147.0
1103,0.65,905.49,696.6,80.71,660.0,366.0,743.0,0.3,0.0026,0.0599,0.002,0.001,0.056,179.0
1104,1.6,903.96,567.88,68.56,670.0,428.0,933.0,0.8,0.035,0.2,0.0049,0.001,0.001,153.0
1105,1.6,898.85,562.77,68.56,670.0,428.0,930.0,0.8,0.04,0.16,0.006,0.001,0.001,178.0
1106,1.4,902.71,567.3,71.32,670.0,424.0,871.0,0.8,0.04,0.16,0.006,0.001,0.001,171.0
1107,1.4,902.06,565.58,71.32,670.0,424.0,871.0,0.8,0.04,0.16,0.006,0.001,0.001,146.0
1108,0.6,916.08,698.35,82.17,660.0,429.0,750.0,0.3,0.0022,0.06,0.004,0.001,0.065,152.0
1109,0.7,911.61,697.01,81.88,660.0,429.0,750.0,0.3,0.0018,0.05,0.006,0.001,0.064,162.0
1110,0.7,917.52,697.87,81.88,670.0,427.0,931.0,0.3,0.0022,0.09,0.007,0.001,0.057,152.0
